sourcetype,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc,exclude,exclude_reason,reviewed_by,reviewed_date,provenance
chkrootkit,security,EDR,high,Alerts.Alerts,chkrootkit,chkrootkit scan results,chkrootkit scan output - host scan for known rootkit signatures and modified system binaries. Feeds the Malware and Change data models.,N,,MDI Reference,4/3/2026,human_curated
circleci:audit,security,,med,"Change.All_Changes, Authentication.Authentication",CircleCI,CircleCI audit log events,"CircleCI audit log - account, org, project admin actions, OAuth/SSO authentication, and policy changes from the CircleCI Audit API.",N,,MDI Reference,4/3/2026,human_curated
cisco:aci,operational,NAC,low,Network_Traffic.All_Traffic,Cisco,Cisco ACI fabric logs,"Cisco Application Centric Infrastructure (ACI) fabric logs - APIC controller and leaf/spine switch events, contract policy decisions, endpoint group activity. Operational with security overlap.",N,,MDI Reference,4/3/2026,human_curated
cisco:amp,security,EDR,high,"Malware.Malware_Attacks, Endpoint.Processes",Cisco,Cisco AMP for Endpoints logs,"Cisco AMP for Endpoints (now Secure Endpoint) telemetry - process execution, file disposition, retrospective convictions, and policy verdicts. Primary EDR source feeding Endpoint and Malware data models.",N,,MDI Reference,4/3/2026,human_curated
cisco:asa,security,FW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Cisco,Cisco ASA firewall logs,"Cisco ASA / Firepower (in ASA mode) syslog - VPN session, ACL hit, NAT translation, threat-detection, and connection build/teardown messages. Foundational Network_Traffic.All_Traffic source.",N,,AI Analysis,3/25/2026,human_curated
cisco:catalyst,operational,FW,low,Network_Traffic.All_Traffic,Cisco,Cisco Catalyst switch syslog,"Cisco Catalyst switch IOS-XE syslog - link state changes, port-security violations, MAC notifications, AAA decisions. Operational with port-security security overlap.",N,,MDI Reference,4/3/2026,human_curated
cisco:dnac,operational,NAC,low,Change.All_Changes,Cisco,Cisco DNA Center events,"Cisco DNA Center / Catalyst Center events - assurance findings, network health, client onboarding, and policy push activity for SD-Access fabrics.",N,,MDI Reference,4/3/2026,human_curated
cisco:esa,security,ESG,high,"Email.All_Email, Malware.Malware_Attacks",Cisco,Cisco Email Security Appliance logs,"Cisco Email Security Appliance (now Secure Email Gateway) mail logs - delivery, spam, AMP file disposition, content filter, DLP, and URL defense actions. Feeds the Email data model.",N,,MDI Reference,4/3/2026,human_curated
cisco:ftd,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Cisco,Cisco FTD firewall logs,"Cisco Firepower Threat Defense (FTD) eStreamer/syslog - NGFW connection, intrusion (Snort), file/malware, security intelligence, and access control events. Feeds Network_Traffic, IDS, and Malware data models.",N,,MDI Reference,4/3/2026,human_curated
cisco:ie,operational,,low,Network_Traffic.All_Traffic,Cisco,Cisco Industrial Ethernet switch,Cisco Industrial Ethernet (IE) switch syslog - hardened OT/ICS-environment switching with ruggedized models. Same IOS-class messages as Catalyst plus PRP/HSR redundancy events.,N,,MDI Reference,4/3/2026,human_curated
cisco:ios,security,FW,med,"Network_Traffic.All_Traffic, Change.All_Changes",Cisco,Cisco IOS device logs,"Cisco IOS / IOS-XE classic syslog catch-all - routers and pre-Catalyst switches not covered by family-specific sourcetypes. AAA, interface, CDP, BGP/OSPF and ACL hit messages.",N,,AI Analysis,3/25/2026,human_curated
cisco:meraki,"security,operational",FW,med,"Network_Traffic.All_Traffic, Authentication.Authentication",Cisco,Cisco Meraki cloud logs,"Cisco Meraki cloud-managed log stream - umbrella sourcetype for events from MX firewalls, MR access points, MS switches, and MV cameras delivered via syslog or the dashboard API.",N,,MDI Reference,4/3/2026,human_curated
cisco:meraki:events,security,FW,med,Alerts.Alerts,Cisco,Cisco Meraki security events,"Security-focused subset of Meraki telemetry - IDS alerts, AMP detections, content filtering, and firewall flow rules. Feeds Network_Traffic and IDS data models.",N,,MDI Reference,4/3/2026,human_curated
cisco:netflow,security,FW,med,Network_Traffic.All_Traffic,Cisco,Cisco NetFlow data,Cisco NetFlow / IPFIX flow records - 5-tuple flow summaries from Cisco routers and switches via the Splunk Stream/Streamfwd or Splunk_TA_flowfix. Primary Network_Traffic source.,N,,AI Analysis,3/25/2026,human_curated
cisco:nexus,operational,FW,low,Network_Traffic.All_Traffic,Cisco,Cisco Nexus switch syslog,"Cisco Nexus switch (NX-OS) syslog - data-center switching events: VPC peer state, FEX, FCoE, VLAN/STP, AAA decisions. Operational with security overlap.",N,,MDI Reference,4/3/2026,human_curated
cisco:pxgrid,security,NAC,high,"Authentication.Authentication, Endpoint.Processes",Cisco,Cisco pxGrid session context,"Cisco Identity Services Engine (ISE) pxGrid session context - user/device session attributes (username, MAC, IP, posture state) published for downstream NAC/SIEM consumers.",N,,MDI Reference,4/3/2026,human_curated
cisco:stealthwatch,security,NDR,high,"Network_Traffic.All_Traffic, Network_Sessions.All_Sessions",Cisco,Cisco Stealthwatch flow telemetry,Cisco Secure Network Analytics (Stealthwatch) telemetry - behavioral NDR alerts and flow analytics from the SMC. Feeds IDS and Network_Traffic data models.,N,,MDI Reference,4/3/2026,human_curated
cisco:umbrella:dns,security,SWG,high,Network_Resolution.DNS,Cisco,Cisco Umbrella DNS logs,"Cisco Umbrella DNS-layer security logs - per-query category, verdict, identity, and policy. Critical for Network_Resolution.DNS and threat detection.",N,,MDI Reference,4/3/2026,human_curated
cisco:umbrella:proxy,security,SWG,high,"Web.Web, Network_Traffic.All_Traffic",Cisco,Cisco Umbrella proxy logs,"Cisco Umbrella Secure Web Gateway / SIG proxy logs - HTTP/HTTPS request decisions with categorization, AV verdict, and identity. Feeds the Web data model.",N,,MDI Reference,4/3/2026,human_curated
cisco:wsa,security,SWG,high,Web.Web,Cisco,Cisco Web Security Appliance logs,"Cisco Web Security Appliance / Secure Web Appliance access logs - on-prem proxy traffic with category, malware verdict, user, and policy. Primary on-prem SWG source for Web data model.",N,,MDI Reference,4/3/2026,human_curated
ironport,security,ESG,high,"Email.All_Email, Malware.Malware_Operations",Cisco,Cisco IronPort email security logs,"Cisco IronPort legacy email security logs - same product line now branded Secure Email Gateway. Mail flow, anti-spam, and AMP file activity. Feeds the Email data model.",N,,AI Analysis,3/25/2026,human_curated
webex,operational,,low,Authentication.Authentication,Cisco,Webex video conferencing logs,"Cisco Webex collaboration platform logs - meeting, messaging, and admin activity from Webex Control Hub. Operational with audit-trail security value when admin events are included.",N,,AI Analysis,3/25/2026,human_curated
citrix:netscaler,security,FW,med,"Network_Traffic.All_Traffic, Web.Proxy",Citrix,Citrix NetScaler logs,Citrix NetScaler / ADC application delivery controller log - per-request and per-session events when not using the syslog-tagged variant.,N,,AI Analysis,3/25/2026,human_curated
ICAClient,operational,,low,,Citrix,Citrix client/session logs,"Citrix ICA Client log - Citrix Receiver/Workspace session connection, channel negotiation, and error events on the user endpoint.",N,,AI Analysis,3/25/2026,human_curated
clamav,security,EPP,high,Malware.Malware_Operations,ClamAV,ClamAV antivirus logs,"ClamAV antivirus engine log - scan job activity, signature update events, and detection records on Linux/Unix mail and file servers.",N,,AI Analysis,3/25/2026,human_curated
clamav_scan,security,EPP,med,Malware.Malware_Attacks,ClamAV,ClamAV antivirus logs,ClamAV scan results - per-scan detections written to scan logs by clamscan/clamd. Feeds the Malware data model.,N,,AI Analysis,3/25/2026,human_curated
clamscan,security,EPP,med,Malware.Malware_Attacks,ClamAV,ClamAV scan results,Direct clamscan command output - one-shot ClamAV scans triggered by cron or scripts. Same finding shape as clamav_scan.,N,,AI Analysis,3/25/2026,human_curated
claroty:baseline,security,,med,Network_Traffic.All_Traffic,Claroty,Claroty OT asset baseline data,"Claroty xDome / CTD asset baseline data - OT asset inventory, protocol fingerprint, vendor/model attribution.",N,,MDI Reference,4/3/2026,human_curated
claroty:event,security,,high,"Alerts.Alerts, Network_Traffic.All_Traffic",Claroty,Claroty OT security events,"Claroty xDome / CTD security event - OT anomaly, vulnerability, policy violation, and known-threat alerts on ICS networks.",N,,MDI Reference,4/3/2026,human_curated
cloudflare:audit,security,WAF,med,Change.All_Changes,Cloudflare,Cloudflare audit log events,Cloudflare account audit log - dashboard and API actions performed against the Cloudflare control plane. Feeds the Change data model.,N,,MDI Reference,4/3/2026,human_curated
cloudflare:dns_logs,"security,operational",,med,Network_Resolution.DNS,Cloudflare,Cloudflare DNS query logs,Cloudflare DNS query log - authoritative and 1.1.1.1 resolver query records. Feeds Network_Resolution.DNS.,N,,MDI Reference,4/3/2026,human_curated
cloudflare:firewall_events,security,WAF,high,"Intrusion_Detection.IDS_Attacks, Web.Web",Cloudflare,Cloudflare firewall events,"Cloudflare firewall and WAF event log - per-request rule matches with action, ruleset, and triggering criteria. Feeds the Web data model.",N,,MDI Reference,4/3/2026,human_curated
cloudflare:logpush,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Cloudflare,Cloudflare Logpush HTTP events,Cloudflare Logpush HTTP request log - per-request CDN/HTTP traffic with security and performance fields. Feeds the Web data model.,N,,MDI Reference,4/3/2026,human_curated
containerd:events,operational,,low,Endpoint.Processes,CNCF,containerd runtime events,"containerd container runtime events - container/image lifecycle (create, start, stop, remove). Operational core runtime telemetry.",N,,MDI Reference,4/3/2026,human_curated
cribl:internal,operational,,none,,Cribl,Cribl internal logs,"Cribl Stream internal log - pipeline route status, worker process activity, queue and persistent state. Operational diagnostics for the Cribl observability pipeline.",Y,Data pipeline internal,AI Analysis,3/25/2026,human_curated
crowdstrike:device:json,security,EDR,high,Endpoint.Processes,CrowdStrike,CrowdStrike device telemetry (JSON),"CrowdStrike Falcon device inventory feed - sensor host attributes, OS, last seen, sensor version, platform. Critical for ES Assets/Identities enrichment.",N,,AI Analysis,3/25/2026,human_curated
CrowdStrike:Event:Streams:JSON,security,EDR,high,Authentication.Authentication,CrowdStrike,CrowdStrike event streams (JSON),"CrowdStrike Falcon Streaming API event stream - detection summaries, audit events, IDP events delivered as JSON. Foundational Falcon source feeding Endpoint, Authentication, and Change data models.",N,,AI Analysis,3/25/2026,human_curated
crowdstrike:events:detections,security,EDR,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",CrowdStrike,CrowdStrike Falcon detection events,"CrowdStrike Falcon detection events extracted from the Event Streams feed - per-detection records with severity, technique, tactic, behavior, and host context. Feeds Alerts and Endpoint data models.",N,,AI Analysis,3/25/2026,human_curated
crowdstrike:events:incidents,security,EDR,high,Alerts.Alerts,CrowdStrike,CrowdStrike Falcon incident data,"CrowdStrike Falcon incident records - groupings of related detections with assigned analyst, status, and tactic chain. Used for case-management and ES notable correlation.",N,,AI Analysis,3/25/2026,human_curated
crowdstrike:events:indicators,security,TIP,high,Threat_Intelligence.Threat_Intel,CrowdStrike,CrowdStrike threat indicators,"CrowdStrike threat intelligence indicators - hashes, IPs, domains, URLs with malware family and actor attributions. TIP-grade enrichment data.",N,,AI Analysis,3/25/2026,human_curated
crowdstrike:events:sensor,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",CrowdStrike,CrowdStrike Falcon sensor events,"CrowdStrike Falcon sensor telemetry events - process, network, file, and authentication events from the agent. Underpins behavioral detections and threat hunting in Falcon.",N,,AI Analysis,3/25/2026,human_curated
crowdstrike:filevantage:json,security,EDR,high,"Endpoint.Filesystem, Change.All_Changes",CrowdStrike,CrowdStrike FileVantage FIM events,"CrowdStrike Falcon FileVantage file integrity monitoring events - file/registry create, modify, delete on monitored paths. Feeds the Change data model.",N,,AI Analysis,5/27/2026,human_curated
crowdstrike:indicators:json,security,"EDR, TIP",high,Intrusion_Detection.IDS_Attacks,CrowdStrike,CrowdStrike threat intelligence,CrowdStrike Falcon Intelligence indicator JSON feed - hash/IP/domain IOCs with threat actor and malware metadata. Feeds the CIM Threat Intelligence framework.,N,,AI Analysis,3/25/2026,human_curated
